"Coğrafi Kapsam (TR)";"Gözlem Sıklığı (A)";"İstatistiksel Gösterge (NG_ADNKS)";"Hanehalkı tipi (1)";"Hanehalkı büyüklüğü (_T)";"ADNKS Gösterge (HH_SAY)";"Zaman (2014)";"Gözlem";"Gözlem Durumu";"Zaman Formatı";"Ondalık Basamak Sayısı";"Ölçü Birimi";"Birim Çarpanı"
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"7+";"Hanehalkı sayısı";"2023";"335236";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"7+";"Hanehalkı sayısı";"2024";"320366";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"7+";"Hanehalkı sayısı";"2025";"301684";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2014";"2970130";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2015";"3095982";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2016";"3148643";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2017";"3212759";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2018";"3262746";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2019";"3339792";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2020";"3327655";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2021";"3429705";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2022";"3610454";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2023";"3673768";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2024";"3717906";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"Toplam";"Hanehalkı sayısı";"2025";"3767993";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2014";"2970130";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2015";"3095982";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2016";"3148643";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2017";"3212759";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2018";"3262746";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2019";"3339792";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Sadece Eşlerden Oluşan Çekirdek Aile";"2";"Hanehalkı sayısı";"2020";"3327655";"";"";"";"";""
