"Coğrafi Kapsam (TR)";"Gözlem Sıklığı (A)";"İstatistiksel Gösterge (NG_ADNKS)";"İkamet edilen yer (TR)";"ADNKS Gösterge (ORT_HH_BUYUKLUK)";"Zaman (2008)";"Gözlem";"Gözlem Durumu";"Zaman Formatı";"Ondalık Basamak Sayısı";"Ölçü Birimi";"Birim Çarpanı"
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Çanakkale";"Ortalama hanehalkı büyüklüğü";"2015";"2,680454266489";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Çanakkale";"Ortalama hanehalkı büyüklüğü";"2016";"2,6679726131609";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Çanakkale";"Ortalama hanehalkı büyüklüğü";"2017";"2,65311725351174";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Çanakkale";"Ortalama hanehalkı büyüklüğü";"2018";"2,65019470020328";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Çanakkale";"Ortalama hanehalkı büyüklüğü";"2019";"2,63098728229225";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Çanakkale";"Ortalama hanehalkı büyüklüğü";"2020";"2,61224550943057";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Çanakkale";"Ortalama hanehalkı büyüklüğü";"2021";"2,57196779186789";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Çanakkale";"Ortalama hanehalkı büyüklüğü";"2022";"2,54459299211996";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Çanakkale";"Ortalama hanehalkı büyüklüğü";"2023";"2,54461605067246";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Çanakkale";"Ortalama hanehalkı büyüklüğü";"2024";"2,52994376647922";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Çanakkale";"Ortalama hanehalkı büyüklüğü";"2025";"2,51321354526607";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İzmir";"Ortalama hanehalkı büyüklüğü";"2008";"3,4";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İzmir";"Ortalama hanehalkı büyüklüğü";"2009";"3,3571158258761";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İzmir";"Ortalama hanehalkı büyüklüğü";"2010";"3,25256295338858";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İzmir";"Ortalama hanehalkı büyüklüğü";"2011";"3,20086193973917";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İzmir";"Ortalama hanehalkı büyüklüğü";"2012";"3,15657676036591";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İzmir";"Ortalama hanehalkı büyüklüğü";"2013";"3,11927694821232";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İzmir";"Ortalama hanehalkı büyüklüğü";"2014";"3,08528374379976";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İzmir";"Ortalama hanehalkı büyüklüğü";"2015";"3,05690251154246";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İzmir";"Ortalama hanehalkı büyüklüğü";"2016";"3,03931176812213";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İzmir";"Ortalama hanehalkı büyüklüğü";"2017";"3,01588103234351";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İzmir";"Ortalama hanehalkı büyüklüğü";"2018";"2,98250043531255";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İzmir";"Ortalama hanehalkı büyüklüğü";"2019";"2,94663991445232";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İzmir";"Ortalama hanehalkı büyüklüğü";"2020";"2,91183696098955";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İzmir";"Ortalama hanehalkı büyüklüğü";"2021";"2,85482800052692";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İzmir";"Ortalama hanehalkı büyüklüğü";"2022";"2,80840842751072";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İzmir";"Ortalama hanehalkı büyüklüğü";"2023";"2,79047170234729";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İzmir";"Ortalama hanehalkı büyüklüğü";"2024";"2,77141863260965";"";"";"";"";""
